search_text,document_id,document_type,trade,certification_group,importance,selection_rule,certification_name,ncs_code,review_status,source_file
"건축목공시공 자격·능력 요구사항 지원 직종은 건축목공시공이다. 관련 NCS 능력단위는 12개다. 건축목공 직접 자격(핵심, 하나 이상): 건축목공기능사, 건축목공산업기사. 건축시공 관련 상위 자격(추천, 하나 이상): 건축기사, 건축산업기사, 건축일반시공산업기사. 자격 그룹은 직종 관련성 기준이며 법적 필수 여부는 별도 확인한다. 검토 상태는 사람 검토 전 자동 추천이다. 직종 건축목공시공",직종요건-01,직종 자격·능력 요약,건축목공시공,,,,,,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 건축목공시공 계획수립 건축목공시공 지원자에게 관련된 NCS 능력단위는 건축목공시공 계획수립이다. NCS 코드는 1403020103_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020103_14v2,능력요건-00001,NCS 능력 요구사항,건축목공시공,,,,,1403020103_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 건축목공시공 도면파악 건축목공시공 지원자에게 관련된 NCS 능력단위는 건축목공시공 도면파악이다. NCS 코드는 1403020101_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020101_14v2,능력요건-00002,NCS 능력 요구사항,건축목공시공,,,,,1403020101_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 건축목공시공 현장안전 건축목공시공 지원자에게 관련된 NCS 능력단위는 건축목공시공 현장안전이다. NCS 코드는 1403020102_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020102_14v2,능력요건-00003,NCS 능력 요구사항,건축목공시공,,,,,1403020102_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 검사 하자보수 건축목공시공 지원자에게 관련된 NCS 능력단위는 검사 하자보수이다. NCS 코드는 1403020112_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020112_14v2,능력요건-00004,NCS 능력 요구사항,건축목공시공,,,,,1403020112_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 구조물 제작설치 건축목공시공 지원자에게 관련된 NCS 능력단위는 구조물 제작설치이다. NCS 코드는 1403020106_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020106_14v2,능력요건-00005,NCS 능력 요구사항,건축목공시공,,,,,1403020106_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 먹매김 건축목공시공 지원자에게 관련된 NCS 능력단위는 먹매김이다. NCS 코드는 1403020105_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020105_14v2,능력요건-00006,NCS 능력 요구사항,건축목공시공,,,,,1403020105_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 목재창호 제작설치 건축목공시공 지원자에게 관련된 NCS 능력단위는 목재창호 제작설치이다. NCS 코드는 1403020110_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020110_14v2,능력요건-00007,NCS 능력 요구사항,건축목공시공,,,,,1403020110_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 바닥 설치 건축목공시공 지원자에게 관련된 NCS 능력단위는 바닥 설치이다. NCS 코드는 1403020107_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020107_14v2,능력요건-00008,NCS 능력 요구사항,건축목공시공,,,,,1403020107_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 벽 설치 건축목공시공 지원자에게 관련된 NCS 능력단위는 벽 설치이다. NCS 코드는 1403020108_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020108_14v2,능력요건-00009,NCS 능력 요구사항,건축목공시공,,,,,1403020108_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 보양 현장정리 건축목공시공 지원자에게 관련된 NCS 능력단위는 보양 현장정리이다. NCS 코드는 1403020111_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020111_14v2,능력요건-00010,NCS 능력 요구사항,건축목공시공,,,,,1403020111_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 시공준비 건축목공시공 지원자에게 관련된 NCS 능력단위는 시공준비이다. NCS 코드는 1403020104_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020104_14v2,능력요건-00011,NCS 능력 요구사항,건축목공시공,,,,,1403020104_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
건축목공시공 - 천장 설치 건축목공시공 지원자에게 관련된 NCS 능력단위는 천장 설치이다. NCS 코드는 1403020109_14v2이고 세분류는 건축목공시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 건축목공시공 NCS 코드 1403020109_14v2,능력요건-00012,NCS 능력 요구사항,건축목공시공,,,,,1403020109_14v2,사람 검토 전 자동 추천,RAG_검색문서.jsonl
"철근콘크리트시공 자격·능력 요구사항 지원 직종은 철근콘크리트시공이다. 관련 NCS 능력단위는 11개다. 철근·거푸집·콘크리트 직접 자격(핵심, 하나 이상): 철근기능사, 거푸집기능사, 콘크리트기능사. 콘크리트·건축시공 상위 자격(추천, 하나 이상): 콘크리트산업기사, 콘크리트기사, 건축일반시공산업기사, 건축산업기사, 건축기사. 자격 그룹은 직종 관련성 기준이며 법적 필수 여부는 별도 확인한다. 검토 상태는 사람 검토 전 자동 추천이다. 직종 철근콘크리트시공",직종요건-02,직종 자격·능력 요약,철근콘크리트시공,,,,,,사람 검토 전 자동 추천,RAG_검색문서.jsonl
철근콘크리트시공 - 거푸집 설치 철근콘크리트시공 지원자에게 관련된 NCS 능력단위는 거푸집 설치이다. NCS 코드는 1403020606_22v3이고 세분류는 철근콘크리트시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 철근콘크리트시공 NCS 코드 1403020606_22v3,능력요건-00013,NCS 능력 요구사항,철근콘크리트시공,,,,,1403020606_22v3,사람 검토 전 자동 추천,RAG_검색문서.jsonl
철근콘크리트시공 - 시공 전 준비 철근콘크리트시공 지원자에게 관련된 NCS 능력단위는 시공 전 준비이다. NCS 코드는 1403020604_22v3이고 세분류는 철근콘크리트시공이다. 근거 상태는 자동 추천이다. 지원자의 경험이나 보유 능력에 이 작업이 없으면 부족 능력 후보로 제시한다. 직종 철근콘크리트시공 NCS 코드 1403020604_22v3,능력요건-00014,NCS 능력 요구사항,철근콘크리트시공,,,,,1403020604_22v3,사람 검토 전 자동 추천,RAG_검색문서.jsonl
